Condition,Category,MatchingBrain,MatchingMS,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
ADCell,GOTERM_BP_DIRECT,0,0,GO:0046718~symbiont entry into host cell,16,2.821869489,2.25E-07,"CR1, SELPLG, ITGB5, ITGB3, CXCR4, RPSA, SLC3A2, DPP4, ILF3, CTSL, CDK1, TNFRSF14, CCR5, LDLR, MYH10, EPHA2",533,107,19416,5.447142782,6.87E-04,6.87E-04,6.83E-04
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051301~cell division,30,5.291005291,8.85E-07,"RB1, CDCA2, CDCA5, NEDD9, CDCA8, SKA3, SMC4, TRIOBP, AURKB, SKA2, SMC2, CCNB1, CCND2, RBBP8, FAM83D, PELO, HELLS, UBE2C, CDC7, CDC6, CKAP5, TPX2, CENPF, KIF18B, CCNE2, CDK5, PRC1, KIFC1, CDK1, TACC3",533,383,19416,2.853349923,0.002700848,0.00135225,0.00134473
ADCell,GOTERM_BP_DIRECT,0,0,GO:0009615~response to virus,14,2.469135802,9.94E-06,"IFITM1, BATF3, SAP30BP, CXCR4, LILRB1, IRAK3, IFIT1, CLU, IFIT3, IFIT2, ACTA2, FGR, BCL3, BCL2L1",533,110,19416,4.6362613,0.029922895,0.010126524,0.01007021
ADCell,GOTERM_BP_DIRECT,1,1,GO:0071222~cellular response to lipopolysaccharide,18,3.174603175,3.38E-05,"ABCA1, HMGB2, TNFAIP3, LILRB1, IRAK3, LILRB2, IL1A, SLC7A5, MIR223, IL6, EDNRB, IL1B, NFKBIZ, CCL2, CD14, CD36, CD68, CCR5",533,198,19416,3.311615214,0.098282031,0.025862933,0.025719109
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006955~immune response,32,5.643738977,6.45E-05,"CCL4L2, CCL3L3, LST1, WAS, IFI6, CXCR4, IL1RAP, CD1C, IGF1R, C3, CTSL, CCRL2, SLAMF9, CCL3, CCL2, TNFRSF14, CCR6, CCR5, SEMA4D, PRG2, SERPINB9, LILRB2, HLA-F, HLA-E, CHIT1, IL1A, IL6, CD40LG, SLPI, IL1B, PECAM1, TLR10",533,529,19416,2.203570048,0.178881786,0.036361723,0.036159515
ADCell,GOTERM_BP_DIRECT,0,1,GO:0097242~amyloid-beta clearance,6,1.058201058,7.14E-05,"C3, MME, TREM2, CLU, LDLR, IGF1R",533,17,19416,12.85685907,0.19601778,0.036361723,0.036159515
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000278~mitotic cell cycle,14,2.469135802,1.02E-04,"CDCA5, NOLC1, CDCA8, SKA3, LIPA, AURKB, KIF15, SKA2, TPX2, CENPF, KIF18B, MYB, MYBL2, TUBA8",533,137,19416,3.722545569,0.268834601,0.044728507,0.044479771
ADCell,GOTERM_BP_DIRECT,0,1,GO:0030335~positive regulation of cell migration,21,3.703703704,1.24E-04,"SPAG9, GRN, SEMA4D, CCL3L3, TWIST2, NEDD9, CXCR4, IGF1R, FGR, GPNMB, MDK, PODXL, IL1B, CCL3, S1PR1, PECAM1, CCL2, ROR2, TRIM32, EZH2, EPHA2",533,285,19416,2.684151279,0.316443515,0.047552789,0.047288348
ADCell,GOTERM_BP_DIRECT,1,0,GO:0010575~positive regulation of vascular endothelial growth factor production,7,1.234567901,2.03E-04,"C3, IL1A, IL6, IL1B, C3AR1, ARNT, HPSE",533,32,19416,7.968574109,0.462765901,0.069028689,0.06864482
ADCell,GOTERM_BP_DIRECT,0,0,GO:0090307~mitotic spindle assembly,8,1.410934744,2.36E-04,"TPX2, UHRF1, KIFC1, CDCA8, FLNA, MYBL2, AURKB, KIF15",533,46,19416,6.335263888,0.514218915,0.072191195,0.071789739
ADCell,GOTERM_BP_DIRECT,1,1,GO:0006954~inflammatory response,26,4.585537919,2.95E-04,"CCL3L3, STK39, TNFAIP3, CXCR4, IL1RAP, HK2, FUT4, C3, CCRL2, STAB1, CCL3, C3AR1, CCL2, OLR1, CD14, CCR5, PLA2G2D, IL1A, MIR223, IL6, CD40LG, IL1B, COL6A1, TLR10, MGLL, EPHA2",533,424,19416,2.233778187,0.594786671,0.0789412,0.078502207
ADCell,GOTERM_BP_DIRECT,0,0,GO:0042130~negative regulation of T cell proliferation,8,1.410934744,3.10E-04,"PLA2G2D, CR1, GPNMB, LILRB1, LILRB2, VSIG4, TNFRSF21, HLA-E",533,48,19416,6.071294559,0.612268117,0.0789412,0.078502207
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000070~mitotic sister chromatid segregation,7,1.234567901,3.98E-04,"KIF18B, KIFC1, NUSAP1, CDCA8, SKA3, SMC4, SKA2",533,36,19416,7.083176986,0.703974555,0.093620579,0.093099954
ADCell,GOTERM_BP_DIRECT,0,1,GO:0007155~cell adhesion,30,5.291005291,5.20E-04,"SELPLG, ITGB5, ITGB3, COL12A1, NEDD9, HAPLN4, THBS3, DPP4, GPNMB, PODXL, STAB1, S1PR1, CCL2, LPXN, PLXNC1, CD36, MYH10, SIGLEC16, EGFL7, SEMA4D, ITGA3, SIGLEC10, RPSA, CLEC4A, COL6A1, ITGBL1, TGFBI, HPSE, MFGE8, EPHA2",533,543,19416,2.012583832,0.796030297,0.113526464,0.112895143
ADCell,GOTERM_BP_DIRECT,0,0,GO:0070301~cellular response to hydrogen peroxide,9,1.587301587,5.81E-04,"NET1, IL6, PCNA, PLEKHA1, MYB, PRKCD, CDK1, TNFAIP3, EZH2",533,69,19416,4.751447916,0.830699665,0.11733537,0.116682867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0016477~cell migration,19,3.350970018,6.14E-04,"NCKAP1, RAB1A, ITGB5, ITGB3, SDC3, NEDD9, NFATC2, TNFAIP3, SORL1, FMNL1, SH3BP1, PODXL, CDH23, S1PR1, CDK1, ITGBL1, GPC4, FAM83D, EPHA2",533,275,19416,2.516827563,0.847095635,0.11733537,0.116682867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0042159~lipoprotein catabolic process,4,0.705467372,6.59E-04,"APOE, LIPA, CTSD, LDLR",533,7,19416,20.81586706,0.866867589,0.118573306,0.117913919
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006898~receptor-mediated endocytosis,9,1.587301587,7.74E-04,"CAP1, CTTN, STAB1, CD14, CD36, APOE, SORL1, LDLR, IGF2R",533,72,19416,4.553470919,0.906257133,0.119258561,0.118595364
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002456~T cell mediated immunity,5,0.881834215,7.80E-04,"CR1, CR1L, NFKBIZ, BTN3A3, BTN3A2",533,16,19416,11.3836773,0.908012465,0.119258561,0.118595364
ADCell,GOTERM_BP_DIRECT,0,0,GO:0015909~long-chain fatty acid transport,5,0.881834215,7.80E-04,"FABP4, FABP5, PLIN2, CD36, APOE",533,16,19416,11.3836773,0.908012465,0.119258561,0.118595364
ADCell,GOTERM_BP_DIRECT,0,0,GO:0002181~cytoplasmic translation,10,1.76366843,9.41E-04,"RPS15, RPL5, RPS17, RPS5, RPL13A, RPSA, RPL15, RPS27A, RPS10, RPS12",533,92,19416,3.95953993,0.943698311,0.136937017,0.136175509
ADCell,GOTERM_BP_DIRECT,0,0,GO:0150094~amyloid-beta clearance by cellular catabolic process,4,0.705467372,0.001033575,"MME, TREM2, CD36, LDLR",533,8,19416,18.21388368,0.957628195,0.143619914,0.142821243
ADCell,GOTERM_BP_DIRECT,0,0,GO:0051248~negative regulation of protein metabolic process,4,0.705467372,0.001518893,"EDNRB, LILRB2, APOE, LDLR",533,9,19416,16.19011882,0.990407612,0.201803925,0.200681692
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007059~chromosome segregation,10,1.76366843,0.001584329,"CENPU, CENPF, CDCA2, HJURP, CENPN, ESCO2, MKI67, SKA3, DLGAP5, SKA2",533,99,19416,3.67957246,0.992149161,0.201803925,0.200681692
ADCell,GOTERM_BP_DIRECT,0,0,GO:0000082~G1/S transition of mitotic cell cycle,9,1.587301587,0.001679393,"RB1, CCNB1, CCND2, CCNE2, CDK1, RBBP8, CDC7, CACUL1, EZH2",533,81,19416,4.047529706,0.994131879,0.2053562,0.204214213
ADCell,GOTERM_BP_DIRECT,0,0,GO:0060252~positive regulation of glial cell proliferation,5,0.881834215,0.002301775,"SLC7A5, IL6, IL1B, MYB, ETV5",533,21,19416,8.673277942,0.999127928,0.270635676,0.269130669
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006096~glycolytic process,7,1.234567901,0.002604406,"HK3, TMEM237, COL6A1, LIPA, GCK, HK2, IER3",533,51,19416,4.999889637,0.999655031,0.294876623,0.293236812
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006935~chemotaxis,11,1.940035273,0.002775049,"CMTM3, CCRL2, CCL3, S1PR1, C3AR1, CCL2, CXCR4, CCR6, LSP1, CCR5, RNASE2",533,128,19416,3.130511257,0.999795536,0.301894271,0.300215435
ADCell,GOTERM_BP_DIRECT,0,0,GO:0097062~dendritic spine maintenance,4,0.705467372,0.002863897,"CTTN, ITGA3, TREM2, IGF1R",533,11,19416,13.24646086,0.999844287,0.301894271,0.300215435
ADCell,GOTERM_BP_DIRECT,0,0,GO:0071466~cellular response to xenobiotic stimulus,8,1.410934744,0.00301039,"ABCA1, RB1, UCHL1, PCNA, IL1B, ITGB3, KCNQ3, CXCR4",533,70,19416,4.163173412,0.999900628,0.306758777,0.305052889
ADCell,GOTERM_BP_DIRECT,0,0,GO:0060326~cell chemotaxis,9,1.587301587,0.003270035,"CCL3L3, CCRL2, PRKCD, HMGB2, CCL3, CXCR4, CCR6, CCR5, EPHA2",533,90,19416,3.642776735,0.999955181,0.322467681,0.320674436
ADCell,GOTERM_BP_DIRECT,0,0,GO:0019221~cytokine-mediated signaling pathway,12,2.116402116,0.00350475,"IL1A, IL6, IL1B, IL3RA, NFKBIZ, CCL2, IRAK3, IL1RAP, INHBA, CSF2RA, JAK1, LILRA5",533,154,19416,2.838527326,0.999978183,0.334813164,0.332951266
ADCell,GOTERM_BP_DIRECT,0,0,GO:0150062~complement-mediated synapse pruning,3,0.529100529,0.004334357,"C3, C1QA, TREM2",533,4,19416,27.32082552,0.99999829,0.401519103,0.399286253
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006897~endocytosis,13,2.292768959,0.005558102,"RAB1A, SYNRG, LIPA, EPN2, MYO1E, EHD2, EHD3, DPYSL2, KCNQ3, LDLR, WASF2, ATP9A, BCL2L1",533,187,19416,2.532411634,0.99999996,0.478101593,0.475442867
ADCell,GOTERM_BP_DIRECT,1,1,GO:0007165~signal transduction,53,9.347442681,0.005823861,"TREM2, LSP1, SHB, IGF1R, NR3C2, MDK, DPYSL2, TAGAP, TCP11L2, CCR6, YWHAG, YWHAH, CAP1, GUCY1A2, ANXA4, PRKCD, RRAS2, IRAK3, TEX2, FGR, CTTN, IL1B, S100A6, PECAM1, ROR2, RAPGEF3, TNFRSF21, GRN, CRABP2, PDE1B, STK39, PPM1H, NEDD9, ARHGAP17, KALRN, DLL4, C3, ITPRIPL1, SH3BP1, GPNMB, LPXN, CCL2, FAM83D, MPP1, CASP8AP2, CMTM3, KCNIP3, LILRB1, CDC7, LILRB2, IGF2R, NET1, PTPRE",533,1326,19416,1.456011817,0.999999982,0.478101593,0.475442867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032753~positive regulation of interleukin-4 production,5,0.881834215,0.005929217,"SLC7A5, CD40LG, PRG2, IL1RAP, HLA-E",533,27,19416,6.745882843,0.999999987,0.478101593,0.475442867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006270~DNA replication initiation,5,0.881834215,0.005929217,"PRIM2, ORC1, CCNE2, MCM4, CDC6",533,27,19416,6.745882843,0.999999987,0.478101593,0.475442867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0034383~low-density lipoprotein particle clearance,4,0.705467372,0.005943036,"HMOX1, CD36, LIPA, LDLR",533,14,19416,10.40793353,0.999999988,0.478101593,0.475442867
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032720~negative regulation of tumor necrosis factor production,8,1.410934744,0.006319573,"CLEC4A, GPNMB, BCL3, ACP5, TNFAIP3, TREM2, LILRB1, IRAK3",533,80,19416,3.642776735,0.999999996,0.495357335,0.492602649
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007596~blood coagulation,9,1.587301587,0.006576231,"THBD, SERPINA1, ITGB3, WAS, SERPING1, ANGPTL2, CD36, TFPI, F2RL2",533,101,19416,3.246038675,0.999999998,0.502588427,0.499793529
ADCell,GOTERM_BP_DIRECT,0,0,GO:1905907~negative regulation of amyloid fibril formation,4,0.705467372,0.00727928,"TREM2, APOE, CLU, LDLR",533,15,19416,9.714071295,1,0.530779883,0.527828212
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032755~positive regulation of interleukin-6 production,9,1.587301587,0.007381074,"IL1A, SIGLEC16, IL6, IL1B, LILRB2, IL1RAP, CD36, POU2F2, LILRA5",533,103,19416,3.183008798,1,0.530779883,0.527828212
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006959~humoral immune response,7,1.234567901,0.007465991,"IL6, ALOX5, CCL2, TREM2, CCR6, POU2F2, TNFRSF21",533,63,19416,4.047529706,1,0.530779883,0.527828212
ADCell,GOTERM_BP_DIRECT,0,0,GO:1902042~negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,5,0.881834215,0.007686319,"HMGB2, TNFAIP3, HMOX1, BCL2L1, FAIM",533,29,19416,6.280649544,1,0.53402451,0.531054795
ADCell,GOTERM_BP_DIRECT,0,0,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,6,1.058201058,0.008236011,"MDK, ITGB3, NEDD9, FLNA, TRIOBP, S100A10",533,46,19416,4.751447916,1,0.537119451,0.534132526
ADCell,GOTERM_BP_DIRECT,0,0,"GO:0006958~complement activation, classical pathway",6,1.058201058,0.008236011,"C3, C1QA, CR1, C1S, SERPING1, CLU",533,46,19416,4.751447916,1,0.537119451,0.534132526
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032956~regulation of actin cytoskeleton organization,9,1.587301587,0.00825797,"IL1A, SIGLEC15, SH3BP1, ITGB3, PRKCD, DIXDC1, NEDD9, ARHGAP17, RAPGEF3",533,105,19416,3.122380059,1,0.537119451,0.534132526
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007080~mitotic metaphase chromosome alignment,6,1.058201058,0.009013821,"CCNB1, KIFC1, CDCA5, CDCA8, SKA3, SKA2",533,47,19416,4.650353279,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:0043525~positive regulation of neuron apoptotic process,7,1.234567901,0.009324149,"GRN, CASP5, CDK5, MYB, CCL3, MYBL2, NUPR1",533,66,19416,3.863551083,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:0043407~negative regulation of MAP kinase activity,5,0.881834215,0.009754816,"UCHL1, IL1B, PRKCD, IRAK3, APOE",533,31,19416,5.875446348,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:0097421~liver regeneration,5,0.881834215,0.009754816,"RPS15, SLC7A5, IL6, PCNA, EZH2",533,31,19416,5.875446348,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:0043691~reverse cholesterol transport,4,0.705467372,0.010446357,"ABCA1, APOE, CLU, ABCG1",533,17,19416,8.571239378,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:1904385~cellular response to angiotensin,4,0.705467372,0.010446357,"PRKCD, INHBA, CDC6, IGF1R",533,17,19416,8.571239378,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,1,GO:0048246~macrophage chemotaxis,4,0.705467372,0.010446357,"EDNRB, CCL3, RPL13A, CCL2",533,17,19416,8.571239378,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:0044849~estrous cycle,4,0.705467372,0.010446357,"EGR1, PCNA, MDK, IGF1R",533,17,19416,8.571239378,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007010~cytoskeleton organization,11,1.940035273,0.010486523,"CAP1, FMNL1, ABLIM3, MDK, DPYSL2, CCL3, NEDD9, TNFAIP3, CCL2, MICAL2, APOE",533,155,19416,2.585196393,1,0.572451814,0.569268405
ADCell,GOTERM_BP_DIRECT,0,0,GO:0015908~fatty acid transport,5,0.881834215,0.010911966,"FABP4, CRABP2, FABP5, CD36, SLC27A3",533,32,19416,5.691838649,1,0.58522599,0.581971544
ADCell,GOTERM_BP_DIRECT,0,0,GO:0050729~positive regulation of inflammatory response,9,1.587301587,0.011358925,"FABP4, CASP5, MDK, IL1B, NFKBIZ, CCL3, PLA2G7, LDLR, LILRA5",533,111,19416,2.953602758,1,0.598693664,0.595364324
ADCell,GOTERM_BP_DIRECT,0,1,GO:0006915~apoptotic process,28,4.938271605,0.012489788,"NCKAP1, SGMS1, IFI6, SLC40A1, TNFAIP3, CXCR4, SHB, SAV1, BCLAF1, CASP5, CAPN3, KIF1B, CD14, CCR5, PHLDA1, IER3, HELLS, RBM14, KCNIP3, PRKCD, IL1A, TPX2, IL1B, RBM14-RBM4, CDK1, TNFRSF21, FAIM, BCL2L1",533,620,19416,1.645124977,1,0.647140364,0.643541612
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045931~positive regulation of mitotic cell cycle,5,0.881834215,0.013483106,"CCNB1, USP2, BRCA2, SHB, LGMN",533,34,19416,5.357024611,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,1,GO:0007162~negative regulation of cell adhesion,6,1.058201058,0.013668878,"SEMA4D, MDK, PODXL, LPXN, TGFBI, PLXNC1",533,52,19416,4.203203926,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,0,GO:0007076~mitotic chromosome condensation,4,0.705467372,0.014295872,"CDCA5, NUSAP1, SMC4, SMC2",533,19,19416,7.669003654,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,0,GO:0008209~androgen metabolic process,4,0.705467372,0.014295872,"DHRS9, PLEKHA1, HSD17B4, INHBA",533,19,19416,7.669003654,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,0,GO:0032695~negative regulation of interleukin-12 production,4,0.705467372,0.014295872,"ACP5, LILRB1, IRAK3, LILRA5",533,19,19416,7.669003654,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,0,GO:0043277~apoptotic cell clearance,4,0.705467372,0.014295872,"ITGB3, TREM2, CD36, MFGE8",533,19,19416,7.669003654,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,0,GO:1903573~negative regulation of response to endoplasmic reticulum stress,3,0.529100529,0.014362424,"ALOX5, LPCAT3, CLU",533,7,19416,15.61190029,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,0,GO:0019318~hexose metabolic process,3,0.529100529,0.014362424,"HK3, GCK, HK2",533,7,19416,15.61190029,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,1,GO:0001525~angiogenesis,15,2.645502646,0.014449604,"EGFL7, CD93, SHB, ADRA2B, SAT1, DLL4, S1PR1, CCL2, FLNA, HMOX1, TGFBI, MFGE8, GLUL, WASF2, RAPGEF3",533,264,19416,2.069759509,1,0.649594689,0.645982288
ADCell,GOTERM_BP_DIRECT,0,0,GO:0071276~cellular response to cadmium ion,5,0.881834215,0.01490108,"NCF1, MT1M, MT1F, HMOX1, MT1H",533,35,19416,5.203966765,1,0.660182638,0.656511357
ADCell,GOTERM_BP_DIRECT,0,0,GO:0048661~positive regulation of smooth muscle cell proliferation,6,1.058201058,0.015913017,"IL6, ITGB3, MYB, S1PR1, HMOX1, IGF1R",533,54,19416,4.047529706,1,0.687833564,0.684008517
ADCell,GOTERM_BP_DIRECT,0,1,GO:0019722~calcium-mediated signaling,9,1.587301587,0.015975199,"LAT2, GNA15, EDNRB, CCRL2, CCL3, C3AR1, CXCR4, CCR6, CCR5",533,118,19416,2.778389036,1,0.687833564,0.684008517
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045786~negative regulation of cell cycle,6,1.058201058,0.01712185,"RB1, HPGD, CDK5, LILRB1, NUPR1, RUNX3",533,55,19416,3.973938257,1,0.726965199,0.72292254
ADCell,GOTERM_BP_DIRECT,0,1,GO:0001818~negative regulation of cytokine production,5,0.881834215,0.018010706,"CLEC4A, RNF128, GPNMB, NPTN, CRYBA1",533,37,19416,4.922671264,1,0.744036869,0.739899274
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045765~regulation of angiogenesis,5,0.881834215,0.018010706,"IL6, GPNMB, HMOX1, RAPGEF3, EPHA2",533,37,19416,4.922671264,1,0.744036869,0.739899274
ADCell,GOTERM_BP_DIRECT,0,0,GO:2000179~positive regulation of neural precursor cell proliferation,4,0.705467372,0.018846122,"DLL4, MDK, FLNA, TOX",533,21,19416,6.938622353,1,0.758060444,0.753844865
ADCell,GOTERM_BP_DIRECT,0,0,GO:0061028~establishment of endothelial barrier,4,0.705467372,0.018846122,"EDNRB, PECAM1, HPSE, RAPGEF3",533,21,19416,6.938622353,1,0.758060444,0.753844865
ADCell,GOTERM_BP_DIRECT,0,0,GO:0006629~lipid metabolic process,14,2.469135802,0.020788907,"GLYATL3, ACSS2, SGMS1, CLU, LIPA, FADS2, CH25H, FABP5, CD36, SLC27A3, LDLR, ST6GALNAC4, MGLL, FADS1",533,250,19416,2.039954972,1,0.800865568,0.796411948
ADCell,GOTERM_BP_DIRECT,0,0,GO:0120162~positive regulation of cold-induced thermogenesis,8,1.410934744,0.021058889,"FABP4, FABP5, SCD, TRPV2, CXCR4, CD36, DECR1, IGF1R",533,101,19416,2.885367711,1,0.800865568,0.796411948
ADCell,GOTERM_BP_DIRECT,0,0,GO:2000134~negative regulation of G1/S transition of mitotic cell cycle,6,1.058201058,0.021108446,"RB1, GPNMB, CCL2, INHBA, CRLF3, EZH2",533,58,19416,3.768389726,1,0.800865568,0.796411948
ADCell,GOTERM_BP_DIRECT,0,0,GO:0042274~ribosomal small subunit biogenesis,7,1.234567901,0.021244899,"RPS15, NOP58, RPS17, RPS5, SNU13, RPS27A, RPS12",533,79,19416,3.227776854,1,0.800865568,0.796411948
ADCell,GOTERM_BP_DIRECT,0,0,GO:0010996~response to auditory stimulus,4,0.705467372,0.021387137,"ABHD12, USP53, MDK, KCNQ3",533,22,19416,6.623230428,1,0.800865568,0.796411948
ADCell,GOTERM_BP_DIRECT,0,0,GO:0045732~positive regulation of protein catabolic process,7,1.234567901,0.02245506,"MYLIP, TNFAIP3, PPP2R3A, TRIM32, RILP, SORL1, IER3",533,80,19416,3.187429644,1,0.800865568,0.796411948
ADCell,GOTERM_BP_DIRECT,1,0,GO:0010628~positive regulation of gene expression,23,4.05643739,0.022503717,"EGR1, RPL5, DNMT1, ITGA3, ITGB3, NFATC2, TREM2, LILRB1, MITF, INHBA, CLU, LGALS9C, DLL4, ACTA2, IL1A, MIR223, IL6, IL1B, ALDH1A2, CCL3, CDK1, CD36, LDLR",533,505,19416,1.659086434,1,0.800865568,0.796411948
ADCell,GOTERM_BP_DIRECT,0,1,GO:0043066~negative regulation of apoptotic process,23,4.05643739,0.022810072,"SEMA4D, ANXA4, PSEN2, IFI6, TWIST2, SLC40A1, SERPINB9, MITF, IFIT3, IGF1R, GCLC, IL6, EDNRB, CCND2, CD40LG, BCL3, CDK1, FLNA, CAPN3, NUPR1, IER3, FAIM, BCL2L1",533,506,19416,1.655807607,1,0.800865568,0.796411948
